RESTAURANT_ID,cost
1085,649574738303.7017
3374,748261255.1614964
347,721899744104.1982
42,991403774.9768829
3567,750703278.3633491
1195,7907284378.195169
407,743382575065.3563
1325,322608238101.86597
1468,2021070432.1339476
3803,600714095636.6547
1082,26902785235.65305
2357,762536388.72474
3286,377863895586.2681
2091,5081342200.058013
66,625889271770.6976
306,305224597295.2321
1679,356208171.355863
1036,1453375880.4480453
570,731388079.4250252
1291,1825413942984.3433
3216,658525133855.8657
1014,723783921667.9998
82,178924515728.63348
209,569100140.688122
2143,296218243.1558673
1451,59226986901.8485
631,513742167921.6663
1240,425000118417.8516
2580,335471866846.3641
3775,569100140.688122
3553,731388079.4250252
2372,663011658.0454001
2513,703784121065.5217
2815,600714095636.6547
479,555166826709.0223
623,1017429632174.1626
787,296403986416.23145
1529,505123651.30565476
4071,6728861463980.562
544,229077824428.03888
2782,654674247144.1355
761,997732355105.013
1523,301672766.6169424
1729,322398076795.3291
4060,995680375.3751369
2422,510750603.7218347
2278,731388079.4250252
559,312070467.3893872
2833,4410717432.259412
1535,374772704929.7904
972,1007532859544.9154
1413,362767341.4022023
3673,1047707061943.8511
1263,696501510.2852962
571,463359209996.48724
335,3466093632107.987
320,548706473.9584655
220,182818432.75789934
909,59420279919.75162
3163,140741095.1169894
3866,491165932.70584494
2895,730417354766.4275
3906,791889220675.8623
3175,1810015200795.0332
1561,616176664036.3187
1403,1859328204.3059175
89,731388079.4250252
1500,435827648488.40344
185,448797332682.2851
1637,731388079.4250252
1611,441669556.13382167
3172,1209522521622.201
2547,997732355105.013
868,511083546.1985984
1103,1811195093563.7239
3592,505769869339.9744
767,569100140.688122
3416,485122066.9077892
2248,431428740.8433058
947,332208654645.05164
3980,687465760227.3428
75,616176664036.3187
2164,819183123449.5527
561,297177608717.0951
726,423672080254.0645
4106,410047554.0641516
1889,596034903115.1289
1239,403937527883.6824
1470,554818928.2286891
2896,357370691.28207886
2785,261040380.12006694
3598,616176664036.3187
149,554818928.2286891
2129,6772853717956.312
1882,731388079.4250252
3499,597994953.5912863
1408,496948815421.7053
262,616176664036.3187
1459,4261529591.5013714
1609,819183123449.5527
245,569100140.688122
113,290476299538.9995
3779,1907187892.8754537
1395,281537956.5066084
3403,385683628.1673466
4011,9825867469470.115
3132,331992239201.6214
2603,569100140.688122
327,6728861463980.562
2236,393031851034.64655
677,947195895.3583803
3029,6728861463980.562
3813,1430822258.8186731
956,320721707560.61505
2912,15031858877.093983
559,462271855626.4301
3983,772539671.7276355
84,540896093.87309
2204,616176664036.3187
1248,616176664036.3187
4101,816518336640.0542
684,230125171948.0343
2232,671980181.3939942
1258,1925921778.08647
1151,299130525.1196004
1613,696938250642.6444
3434,360176242.1941478
892,59342887127.99456
1041,1018756526153.5621
2410,397419986.2036935
1719,1810015200795.0332
2233,4258753442.224884
1710,52809216724.90724
3004,295832429.47679734
3812,688362327566.6876
3358,772539671.7276355
414,723783921667.9998
2675,1377752022.6527734
2904,390478960077.4072
2505,585654077.3684455
1506,426953816.0530778
3094,712569850.3558649
2949,707923879016.2285
2974,27534293600.709732
3127,756596700.2882127
993,141016508.83639967
3707,1907187892.8754537
3208,812802191866.879
3370,731388079.4250252
3292,599540864894.0513
1303,6759625927473.675
3409,262063030.20081744
2975,6962807526.042468
3261,806996677215.2245
2385,357137884.1726271
3641,1189853826.6606762
59,373067036402.7558
2443,6728861463980.562
2726,974121308.0271447
1145,426953816.0530778
3144,4534740770784.013
664,6728861463980.562
