RESTAURANT_ID,COST
1085,649572825696.9674
3374,748262761.9445622
347,721897531304.9077
42,991405930.3551385
3567,750704787.2639378
1195,7907287860.551875
407,743380271461.7568
1325,322607546677.72217
1468,2021073178.2096686
3803,600712380668.5175
1082,26902773796.479763
2357,762537907.7577982
3286,377862976841.77203
2091,5081346192.931983
66,625887455516.224
306,305223962481.65454
1679,356209191.3121024
1036,1453378403.775144
570,731389571.3261087
1291,1825407681245.686
3216,658523184579.6294
1014,723781700933.5756
82,178924176257.67273
209,569101464.9952115
2143,296219153.8731103
1451,59226924089.55673
631,513740793224.2613
1240,424999073438.21674
2580,335471132837.45654
3775,569101464.9952115
3553,731389571.3261087
2372,663013333.750385
2513,703781984269.982
2815,600712380668.5175
479,555165291883.3308
623,1017426550160.8425
787,296403379897.80023
1529,505124895.69381493
4071,6728831939994.287
544,229077398683.49567
2782,654672313662.0454
761,997729355087.185
1523,301673687.8029299
1729,322397386062.1074
4060,995682428.3978271
2422,510751855.4950983
2278,731389571.3261087
559,312071408.22038394
2833,4410721376.359926
1535,374771837404.5859
972,1007529818784.8107
1413,362768372.562609
3673,1047703853043.8057
1263,696502969.9916334
571,463357975188.8575
335,3466080127143.9385
320,548707773.7309045
220,182819017.42742437
909,59420216680.83807
3163,140741572.27242577
3866,491167158.46368855
2895,730415106050.9935
3906,791886709459.2485
3175,1810009009431.5537
1561,616174886998.1595
1403,1859330908.1546693
89,731389571.3261087
1500,435826517610.2861
185,448796153085.22784
1637,731389571.3261087
1611,441670712.0720022
3172,1209518747935.307
2547,997729355087.185
868,511084798.4066036
1103,1811188896813.1997
3592,505768525030.13367
767,569101464.9952115
3416,485123284.45834553
2248,431429881.56518215
947,332207931493.26184
3980,687463691438.5403
75,616174886998.1595
2164,819180493903.0339
561,297176999728.89795
726,423671062768.5171
4106,410048662.11182994
1889,596033206840.9906
1239,403936558195.44354
1470,554820235.4443496
2896,357371713.23410714
2785,261041220.46092057
3598,616174886998.1595
149,554820235.4443496
2129,6772823950423.742
1882,731389571.3261087
3499,597996311.2346572
1408,496947504566.83936
262,616174886998.1595
1459,4261533798.4941354
1609,819180493903.0339
245,569101464.9952115
113,290475711867.3789
3779,1907190610.836758
1395,281538838.47105724
3403,385684697.4223682
4011,9825820098280.996
3132,331991516768.57947
2603,569101464.9952115
327,6728831939994.287
2236,393030919840.36664
677,947198004.0862496
3029,6728831939994.287
3813,1430824768.6049066
956,320721022332.96826
2912,15031861695.369276
559,462270674519.77997
3983,772541199.1622201
84,540897384.021167
2204,616174886998.1595
1248,616174886998.1595
4101,816515718692.8704
684,230124743055.32214
2232,671981617.2794824
1258,1925924501.1955562
1151,299131361.26581186
1613,696936142430.5789
3434,360177268.9448808
892,59342824059.982994
1041,1018753438600.8784
2410,397421074.3588557
1719,1810009009431.5537
2233,4258757649.6539187
1710,52809167652.2127
3004,295833339.44922745
3812,688360255052.8596
3358,772541199.1622201
414,723781700933.5756
2675,1377754498.9592736
2904,390478037844.4255
2505,585655420.9741576
1506,426954950.03891337
3094,712571325.1333119
2949,707921724898.9744
2974,27534278209.74519
3127,756598214.2617085
993,141016986.60999045
3707,1907190610.836758
